CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,1,77183.6,2,Regular
12347,2,7,4310.000000000001,1,High-Value
12348,75,4,1797.24,2,Regular
12349,19,1,1757.5500000000002,0,At-Risk
12350,310,1,334.40000000000003,3,Occasional
12352,36,8,2506.0400000000004,2,Regular
12353,204,1,89.0,3,Occasional
12354,232,1,1079.4,3,Occasional
12355,214,1,459.4,3,Occasional
12356,23,3,2811.43,2,Regular
12357,33,1,6207.67,2,Regular
12358,2,2,1168.06,0,At-Risk
12359,58,4,6372.58,2,Regular
12360,52,3,2662.06,2,Regular
12361,287,1,189.9,3,Occasional
12362,3,10,5226.23,1,High-Value
12363,110,2,552.0,3,Occasional
12364,8,4,1313.1,0,At-Risk
12365,291,2,641.3799999999999,3,Occasional
12367,4,1,168.89999999999998,0,At-Risk
12370,51,4,3545.69,2,Regular
12371,45,2,1887.96,2,Regular
12372,72,3,1298.0400000000002,2,Regular
12373,311,1,364.6,3,Occasional
12374,25,1,742.93,0,At-Risk
12375,11,2,457.5,0,At-Risk
12377,315,2,1628.12,2,Regular
12378,130,1,4008.62,2,Regular
12379,82,2,852.24,2,Regular
12380,22,4,2724.8100000000004,2,Regular
12381,5,5,1845.3100000000004,1,High-Value
12383,185,5,1850.56,2,Regular
12384,29,2,585.2700000000001,0,At-Risk
12386,338,2,401.9,3,Occasional
12388,16,6,2780.6600000000003,1,High-Value
12390,80,1,549.84,3,Occasional
12391,22,1,460.89,0,At-Risk
12393,72,4,1582.6,2,Regular
12394,64,2,1272.48,2,Regular
12395,19,12,3018.63,1,High-Value
12397,36,2,2409.9000000000005,2,Regular
12398,46,1,1635.66,2,Regular
12399,119,4,1108.65,2,Regular
12401,303,1,84.3,3,Occasional
12402,323,1,225.6,3,Occasional
12403,50,1,427.7,3,Occasional
12405,149,1,1710.3900000000003,2,Regular
12406,22,2,3415.3,2,Regular
12407,50,5,1708.1199999999997,2,Regular
12408,33,5,2888.55,2,Regular
12409,79,3,11072.67,2,Regular
12410,309,2,693.3299999999999,3,Occasional
12412,75,3,1226.88,2,Regular
12413,67,3,758.1,2,Regular
12414,217,3,562.41,3,Occasional
12415,24,21,124914.53,1,High-Value
12417,3,9,3649.1,1,High-Value
12418,113,1,668.58,3,Occasional
12420,64,1,600.3900000000001,3,Occasional
12421,16,4,807.0400000000001,0,At-Risk
12422,96,3,803.5599999999998,2,Regular
12423,1,8,1859.31,1,High-Value
12424,163,2,1760.9599999999996,2,Regular
12425,78,1,777.1999999999999,3,Occasional
12426,195,1,582.73,3,Occasional
12427,22,3,825.8,0,At-Risk
12428,26,9,7956.46,1,High-Value
12429,9,4,3750.4,1,High-Value
12430,43,1,256.4,3,Occasional
12431,36,15,6487.45,1,High-Value
12432,43,5,5059.319999999999,2,Regular
12433,1,7,13375.87,1,High-Value
12434,85,2,806.14,2,Regular
12435,80,2,7829.890000000001,2,Regular
12436,100,1,509.0100000000001,3,Occasional
12437,2,18,4951.41,1,High-Value
12438,14,2,2906.8500000000004,2,Regular
12441,367,1,173.55,3,Occasional
12442,3,1,172.06,0,At-Risk
12444,21,5,5005.46,1,High-Value
12445,22,1,133.4,0,At-Risk
12446,58,1,1002.31,3,Occasional
12447,243,1,476.49,3,Occasional
12448,44,1,449.4500000000001,3,Occasional
12449,22,4,4067.29,2,Regular
12450,156,2,197.88,3,Occasional
12451,11,5,9035.52,1,High-Value
12452,17,2,430.57,0,At-Risk
12453,134,1,707.0899999999999,3,Occasional
12454,56,1,3528.34,2,Regular
12455,73,6,2466.86,2,Regular
12456,44,3,3181.04,2,Regular
12457,66,7,2363.23,2,Regular
12458,71,2,947.4,2,Regular
12461,94,2,826.88,2,Regular
12462,19,2,1189.59,0,At-Risk
12463,53,4,1344.7800000000002,2,Regular
12464,10,8,1212.05,1,High-Value
12465,17,2,742.19,0,At-Risk
12468,188,2,729.54,3,Occasional
12471,2,30,19824.05,1,High-Value
12472,32,7,6572.110000000001,1,High-Value
12473,29,5,3938.55,2,Regular
12474,17,18,7375.79,1,High-Value
12475,54,1,723.3799999999999,3,Occasional
12476,16,11,6816.42,1,High-Value
12477,23,6,13219.740000000002,1,High-Value
12478,4,1,680.9900000000001,0,At-Risk
12479,11,1,527.2,0,At-Risk
12480,28,4,3281.63,2,Regular
12481,23,10,5596.32,1,High-Value
12483,17,8,2484.98,1,High-Value
12484,33,6,4541.719999999999,2,Regular
12488,10,3,1298.6600000000003,0,At-Risk
12489,336,1,334.92999999999995,3,Occasional
12490,5,10,5417.93,1,High-Value
12491,39,1,460.4,0,At-Risk
12492,63,2,263.21,3,Occasional
12493,166,2,433.74,3,Occasional
12494,16,7,1246.1,2,Regular
12497,82,1,1043.1,3,Occasional
12498,21,3,403.7,0,At-Risk
12500,23,11,4257.820000000001,1,High-Value
12501,337,1,2169.3900000000003,3,Occasional
12502,96,5,3723.87,2,Regular
12504,18,2,482.05,0,At-Risk
12506,233,1,73.50000000000001,3,Occasional
12507,134,3,1304.81,2,Regular
12508,26,2,398.27,0,At-Risk
12509,284,1,176.5,3,Occasional
12510,143,2,982.57,2,Regular
12512,66,2,138.03,3,Occasional
12513,113,1,612.2900000000001,3,Occasional
12514,267,1,1017.68,3,Occasional
12515,353,1,383.7000000000001,3,Occasional
12516,78,2,1312.06,2,Regular
12517,28,5,2502.84,2,Regular
12518,1,5,2056.89,1,High-Value
12519,64,1,340.84000000000003,3,Occasional
12520,79,5,2634.26,2,Regular
12521,143,1,599.68,3,Occasional
12522,39,2,192.72000000000003,0,At-Risk
12523,19,11,1789.77,1,High-Value
12524,9,8,4485.719999999999,1,High-Value
12526,1,3,1316.6600000000003,0,At-Risk
12527,82,3,348.71000000000004,3,Occasional
12528,9,6,1933.48,1,High-Value
12530,60,4,1662.28,2,Regular
12531,15,1,125.22,0,At-Risk
12532,30,1,349.83000000000004,0,At-Risk
12534,131,1,1089.18,3,Occasional
12535,92,2,716.35,2,Regular
12536,43,3,12601.830000000002,2,Regular
12538,29,1,363.95,0,At-Risk
12539,22,4,5568.349999999999,2,Regular
12540,20,17,13400.24,1,High-Value
12541,30,3,981.1800000000002,2,Regular
12544,36,1,372.7000000000001,0,At-Risk
12545,75,2,1000.39,2,Regular
12546,47,2,1161.5,2,Regular
12547,198,2,207.8,3,Occasional
12548,166,1,95.2,3,Occasional
12550,79,1,964.83,3,Occasional
12551,358,1,168.0,3,Occasional
12552,39,2,437.82,0,At-Risk
12553,8,10,3692.28,1,High-Value
12556,50,2,603.7099999999999,0,At-Risk
12557,16,5,11990.96,1,High-Value
12558,8,1,269.96000000000004,0,At-Risk
12559,311,2,561.7099999999999,3,Occasional
12560,5,3,2134.01,0,At-Risk
12561,303,1,238.85,3,Occasional
12562,8,7,3781.74,1,High-Value
12564,261,1,456.9,3,Occasional
12565,289,1,145.92000000000002,3,Occasional
12566,86,1,351.65,3,Occasional
12567,23,10,9401.28,1,High-Value
12569,2,32,4124.6900000000005,1,High-Value
12571,40,2,519.61,0,At-Risk
12572,9,2,1020.42,0,At-Risk
12573,227,1,160.54,3,Occasional
12574,316,1,218.45,3,Occasional
12576,36,5,1315.83,2,Regular
12577,35,3,657.8,2,Regular
12578,21,2,2794.51,2,Regular
12579,78,1,440.42,3,Occasional
12580,247,1,415.7000000000001,3,Occasional
12581,40,1,197.71,3,Occasional
12582,239,2,511.3599999999999,3,Occasional
12583,3,15,7281.379999999999,1,High-Value
12584,4,9,2338.1500000000005,1,High-Value
12585,234,2,2040.1,2,Regular
12586,17,1,196.94000000000003,0,At-Risk
12587,8,1,144.0,0,At-Risk
12588,39,1,214.9,3,Occasional
12589,29,2,646.6800000000001,0,At-Risk
12590,211,2,9864.26,2,Regular
12591,317,1,452.85,3,Occasional
12592,92,2,437.6,3,Occasional
12593,109,3,418.0999999999999,3,Occasional
12594,38,10,3338.2200000000003,1,High-Value
12596,51,2,618.27,2,Regular
12597,19,4,3811.2199999999993,2,Regular
12598,10,8,3023.08,1,High-Value
12599,29,7,1032.5800000000004,2,Regular
12600,29,10,2599.04,1,High-Value
12601,190,5,577.0600000000001,2,Regular
12602,59,1,153.12,3,Occasional
12603,22,1,739.1999999999999,0,At-Risk
12604,79,2,254.18,3,Occasional
12607,60,1,1579.51,2,Regular
12609,78,3,1126.85,2,Regular
12610,23,5,2099.54,2,Regular
12611,52,1,1193.32,2,Regular
12612,74,1,704.04,3,Occasional
12613,57,5,3344.38,2,Regular
12614,278,1,315.6,3,Occasional
12615,2,4,2291.19,1,High-Value
12616,95,2,713.3,3,Occasional
12617,29,1,355.53000000000003,0,At-Risk
12618,22,1,177.31,0,At-Risk
12619,16,9,3641.24,1,High-Value
12620,15,3,1339.41,2,Regular
12621,2,20,13689.67,1,High-Value
12622,232,1,180.09999999999997,3,Occasional
12623,276,1,305.1,3,Occasional
12624,106,2,641.13,3,Occasional
12625,212,2,2683.82,2,Regular
12626,23,9,6620.48,1,High-Value
12627,11,7,4478.530000000001,1,High-Value
12628,4,3,786.4599999999999,0,At-Risk
12630,10,2,1270.88,0,At-Risk
12631,57,1,640.5,3,Occasional
12633,59,4,2163.98,2,Regular
12635,90,2,1689.1800000000003,2,Regular
12637,67,8,6021.9,2,Regular
12638,33,1,671.69,0,At-Risk
12639,239,1,486.1,3,Occasional
12640,24,3,1174.58,2,Regular
12641,115,1,185.9,3,Occasional
12642,25,3,1013.26,2,Regular
12643,128,6,3344.6399999999994,2,Regular
12644,130,1,477.91,3,Occasional
12645,34,4,1775.1800000000003,2,Regular
12646,5,2,1346.97,0,At-Risk
12647,22,12,3722.82,1,High-Value
12648,155,1,318.04999999999995,3,Occasional
12649,107,3,623.51,2,Regular
12650,3,1,314.44,0,At-Risk
12651,335,1,114.0,3,Occasional
12652,331,1,919.98,3,Occasional
12653,149,2,2209.85,2,Regular
12654,11,5,601.9799999999999,0,At-Risk
12656,17,5,4051.17,1,High-Value
12657,11,4,1643.18,2,Regular
12658,19,1,686.05,0,At-Risk
12659,30,1,91.68,3,Occasional
12660,11,1,245.1,0,At-Risk
12662,1,11,3849.78,1,High-Value
12664,8,9,4881.88,1,High-Value
12665,325,1,63.0,3,Occasional
12667,58,1,620.1300000000001,3,Occasional
12668,12,4,3807.15,1,High-Value
12669,151,3,2744.03,2,Regular
12670,10,5,2996.0500000000006,1,High-Value
12672,330,1,225.9,3,Occasional
12673,5,2,610.52,0,At-Risk
12674,39,4,1970.6,2,Regular
12676,25,6,1331.39,2,Regular
12678,42,12,17628.46,1,High-Value
12679,59,4,1113.02,2,Regular
12680,1,4,862.8100000000002,0,At-Risk
12681,15,22,13787.54,1,High-Value
12682,4,31,12288.22,1,High-Value
12683,4,15,8476.57,1,High-Value
12684,8,7,2283.63,1,High-Value
12685,28,6,2863.08,2,Regular
12686,372,1,89.14,3,Occasional
12688,114,1,4873.81,2,Regular
12689,26,2,1247.61,2,Regular
12690,206,1,389.01,3,Occasional
12691,28,6,1035.8,2,Regular
12693,127,4,855.91,2,Regular
12694,70,2,869.67,2,Regular
12695,7,4,582.1,0,At-Risk
12697,29,3,957.59,2,Regular
12700,8,4,4939.99,1,High-Value
12701,80,2,797.71,2,Regular
12702,20,1,219.0,0,At-Risk
12703,71,1,283.55,3,Occasional
12704,7,8,2340.84,1,High-Value
12705,15,9,6868.290000000001,1,High-Value
12707,292,1,603.42,3,Occasional
12708,30,10,2712.91,1,High-Value
12709,15,15,9736.52,1,High-Value
