CustomerID,Recency,Frequency,Monetary
12346,326,1,77183.6
12347,2,7,4310.000000000001
12348,75,4,1797.24
12349,19,1,1757.5500000000002
12350,310,1,334.40000000000003
12352,36,8,2506.0400000000004
12353,204,1,89.0
12354,232,1,1079.3999999999999
12355,214,1,459.4
12356,23,3,2811.43
12357,33,1,6207.67
12358,2,2,1168.06
12359,58,4,6372.58
12360,52,3,2662.06
12361,287,1,189.89999999999998
12362,3,10,5226.23
12363,110,2,552.0
12364,8,4,1313.1000000000001
12365,291,2,641.3799999999999
12367,4,1,168.89999999999998
12370,51,4,3545.6899999999996
12371,45,2,1887.96
12372,72,3,1298.0400000000002
12373,311,1,364.6
12374,25,1,742.93
12375,11,2,457.5
12377,315,2,1628.12
12378,130,1,4008.62
12379,82,2,852.24
12380,22,4,2724.8100000000004
12381,5,5,1845.3100000000004
12383,185,5,1850.5600000000002
12384,29,2,585.2700000000001
12386,338,2,401.9
12388,16,6,2780.6600000000003
12390,80,1,549.84
12391,22,1,460.89
12393,72,4,1582.6000000000001
12394,64,2,1272.48
12395,19,12,3018.63
12397,36,2,2409.9000000000005
12398,46,1,1635.6599999999999
12399,119,4,1108.65
12401,303,1,84.3
12402,323,1,225.6
12403,50,1,427.7
12405,149,1,1710.3900000000003
12406,22,2,3415.3
12407,50,5,1708.1199999999997
12408,33,5,2888.55
12409,79,3,11072.67
12410,309,2,693.3299999999999
12412,75,3,1226.88
12413,67,3,758.1
12414,217,3,562.41
12415,24,21,124914.53
12417,3,9,3649.1000000000004
12418,113,1,668.58
12420,64,1,600.3900000000001
12421,16,4,807.0400000000001
12422,96,3,803.5599999999998
12423,1,8,1859.31
12424,163,2,1760.9599999999996
12425,78,1,777.1999999999999
12426,195,1,582.73
12427,22,3,825.8
12428,26,9,7956.46
12429,9,4,3750.4
12430,43,1,256.4
12431,36,15,6487.45
12432,43,5,5059.319999999999
12433,1,7,13375.87
12434,85,2,806.14
12435,80,2,7829.890000000001
12436,100,1,509.01000000000005
12437,2,18,4951.41
12438,14,2,2906.8500000000004
12441,367,1,173.55
12442,3,1,172.06
12444,21,5,5005.46
12445,22,1,133.4
12446,58,1,1002.3100000000001
12447,243,1,476.49
12448,44,1,449.4500000000001
12449,22,4,4067.2900000000004
12450,156,2,197.88
12451,11,5,9035.52
12452,17,2,430.57
12453,134,1,707.0899999999999
12454,56,1,3528.34
12455,73,6,2466.8599999999997
12456,44,3,3181.04
12457,66,7,2363.23
12458,71,2,947.4
12461,94,2,826.88
12462,19,2,1189.5900000000001
12463,53,4,1344.7800000000002
12464,10,8,1212.05
12465,17,2,742.19
12468,188,2,729.54
12471,2,30,19824.05
12472,32,7,6572.110000000001
12473,29,5,3938.55
12474,17,18,7375.79
12475,54,1,723.3799999999999
12476,16,11,6816.42
12477,23,6,13219.740000000002
12478,4,1,680.9900000000001
12479,11,1,527.2
12480,28,4,3281.6299999999997
12481,23,10,5596.32
12483,17,8,2484.98
12484,33,6,4541.719999999999
12488,10,3,1298.6600000000003
12489,336,1,334.92999999999995
12490,5,10,5417.93
12491,39,1,460.40000000000003
12492,63,2,263.21
12493,166,2,433.74
12494,16,7,1246.1
12497,82,1,1043.1
12498,21,3,403.7
12500,23,11,4257.820000000001
12501,337,1,2169.3900000000003
12502,96,5,3723.87
12504,18,2,482.04999999999995
12506,233,1,73.50000000000001
12507,134,3,1304.81
12508,26,2,398.27
12509,284,1,176.5
